"pacSelector","kind","owner","principalId","lastChange","category","displayName","id"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy Activity Log VPN Gateway Delete Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_VPNGateway_Delete"
"tenant","Policy","unknownOwner","f0047a79-83bb-4341-bc3d-e85b4a74b4ba","2023-11-20T15:14:10","Monitoring","Deploy Service Health Advisory Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ServiceHealth_HealthAdvisory"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Key Vault","Deploy KeyVault Requests Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_KeyVault_Requests_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Ingress Packet Drop Mismatch Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelIngressPacketDropMismatch_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ER Direct ExpressRoute Bits In Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERP_ExpressRouteBitsIn_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy ERG ExpressRoute Bits In Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ERGw_ExpressRouteBitsIn_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy PIP Bytes in DDoS Attack Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_PublicIp_BytesInDDoSAttack_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:44","Network","Deploy VNetG ExpressRoute CPU Utilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_ExpressRouteCpuUtil_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Tunnel Egress Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelEgress_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy AGW ApplicationGatewayTotalTime Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_AG_ApplicationGatewayTotalTime_Alert"
"tenant","Policy","unknownOwner","d2521b16-0f20-46f9-8fc3-99549fe69fcf","2023-02-03T16:47:52","","Deny storage accounts not using only HTTPS","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/760893b4-49e4-49ec-9990-7d59075bb73f"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Tunnel Bandwidth Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelBandwidth_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM Available Memory Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_AvailableMemory_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Key Vault","Deploy KeyVault Latency Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_KeyVault_Latency_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:46","Compute","Deploy VM OS Disk Read Latency Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_OSDiskreadLatency_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM Data Disk Read Latency Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_dataDiskReadLatency_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy PIP DDoS Attack Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_PublicIp_DDoSAttack_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Ingress Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_Ingress_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy PDNSZ Capacity Utilization Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_PDNSZ_CapacityUtil_Alert"
